"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9국01-01]","화자의 의도와 관점을 추론하며 듣는다.","듣기·말하기","중학교","","","","다양한 담화 맥락과 정보를 활용하여 화자의 의도와 관점을 정확하게 추론하며 들을 수 있다.","담화 맥락과 정보를 활용하여 화자의 의도와 관점을 추론하며 들을 수 있다.","담화 맥락을 활용하여 화자의 의도와 관점을 추론하며 들을 수 있다.","담화 맥락을 일부 활용하여 화자의 의도와 관점을 부분적으로 추론하며 들을 수 있다.","화자의 의도와 관점을 부분적으로 추론하며 듣는다.","",""
"[9국01-02]","설득 전략을 비판적으로 분석하며 듣는다.","듣기·말하기","중학교","","","","담화의 목적과 상대의 입장을 고려하여 설득 전략의 효과를 분석하고 다양한 관점에서 타당한 근거를 들어 적극적으로 평가할 수 있다.","담화의 목적을 고려하여 설득 전략의 효과를 분석하고 다양한 관점에서 타당한 근거를 들어 평가할 수 있다.","설득 전략의 효과를 타당한 근거를 들어 평가할 수 있다.","설득 전략의 일부를 파악하고 설득 전략의 효과를 부분적으로 평가할 수 있다.","설득 전략을 부분적으로 파악하며 듣는다.","",""
"[9국01-03]","담화 공동체에 따른 듣기･말하기 방식의 다양성을 고려하여 듣고 말한다.","듣기·말하기","중학교","","","","담화 공동체에 따른 듣기･말하기 방식의 다양성을 존중하여 사회·문화적 맥락에 맞게 적절한 방식으로 듣고 말할 수 있다.","담화 공동체에 따른 듣기･말하기 방식의 다양성을 고려하며 적절한 방식으로 듣고 말할 수 있다.","담화 공동체에 따른 듣기･말하기 방식의 다양성을 이해하며 듣고 말할 수 있다.","담화 공동체에 따른 듣기･말하기 방식을 부분적으로 이해하며 듣고 말할 수 있다.","담화 공동체에 따른 듣기·말하기의 방식을 제한적으로 이해한다.","",""
"[9국01-04]","상대의 말을 경청하고 상대의 감정과 입장에 공감하는 반응을 보이며 대화한다.","듣기·말하기","중학교","","","","상대의 말을 경청하며 상대의 감정과 입장에 공감하고, 그에 따라 적절한 반응을 지속적으로 보이며 대화를 나눌 수 있다.","","상대의 말을 경청하고 상대의 감정과 입장에 공감하는 반응을 보이며 대화를 나눌 수 있다.","","상대의 말을 듣고 감정을 파악하며 대화를 나눈다.","",""
"[9국01-05]","면담의 다양한 목적과 상대를 고려하여 질문을 점검하고 효과적으로 면담한다.","듣기·말하기","중학교","","","","면담의 다양한 목적과 상대를 고려하여 적합한 질문을 체계적으로 준비하고, 면담 상황에 따라 질문을 점검하고 조정하며 효과적으로 면담할 수 있다.","면담의 다양한 목적과 상대를 고려하여 질문을 준비하고, 면담 상황에 따라 질문을 점검하여 효과적으로 면담할 수 있다.","면담의 목적과 상대를 고려하여 질문을 준비하고, 면담 상황에 따라 질문을 점검하여 면담할 수 있다.","면담 질문을 준비하고, 면담 상황에 따라 부분적으로 질문을 점검하여 면담할 수 있다.","면담 질문을 준비하고, 면담 상황에 따라 질문하며 면담한다.","",""
"[9국01-06]","다양한 자료를 재구성하여 내용을 체계적으로 조직하고 청중이 이해하기 쉽게 발표한다.","듣기·말하기","중학교","","","","청중의 관심과 요구를 고려하여 다양한 자료를 재구성하고 내용을 체계적으로 조직하여 청중이 이해하기 쉽도록 중요한 내용을 강조하여 발표할 수 있다.","다양한 자료를 재구성하여 내용을 조직하고 청중이 이해하기 쉽도록 중요한 내용을 강조하여 발표할 수 있다.","다양한 자료를 활용하여 내용을 조직하고 청중이 이해할 수 있도록 발표할 수 있다.","자료를 활용하여 내용을 조직하고 청중을 고려하여 발표할 수 있다.","자료를 바탕으로 내용을 구성하여 발표한다.","",""
"[9국01-07]","토의에서 다양한 의견을 교환하여 대안을 마련하고 문제를 해결한다.","듣기·말하기","중학교","","","","토의에서 쟁점을 파악하고 각 대안의 장단점에 대해 다양한 의견을 적극적으로 교환하여 적절한 대안을 마련하고 합리적으로 문제를 해결할 수 있다.","토의에서 쟁점을 파악하고 각 대안에 대해 의견을 교환하여 적절한 대안을 마련하고 문제를 해결할 수 있다.","토의에서 다양한 의견을 교환하여 대안을 마련할 수 있다.","토의에서 의견을 부분적으로 교환하여 대안을 마련할 수 있다.","토의에서 자신의 의견을 제시하며 의견 교환에 참여한다.","",""
"[9국01-08]","토론에서 반론을 고려하여 타당한 논증을 구성하고 논리적으로 반박한다.","듣기·말하기","중학교","","","","토론에서 반론을 고려하여 타당한 논증을 구성하고, 다양한 관점에서 상대의 논증 구성 요소의 논리적 허점이나 오류에 대해 근거를 들어 논리적으로 반박할 수 있다.","토론에서 반론을 고려하여 타당한 논증을 구성하고, 다양한 관점에서 상대의 논증 구성 요소의 타당성에 대해 논리적으로 반박할 수 있다.","토론에서 반론을 고려하여 타당한 논증을 구성하고, 상대의 논증 구성 요소의 타당성에 대해 반박할 수 있다.","토론에서 자신의 주장과 근거를 고려하여 논증을 구성하고, 상대의 주장과 근거에 대한 의견을 제시할 수 있다.","토론에서 자신의 주장과 근거를 고려하여 부분적으로 논증을 구성한다.","",""
"[9국01-09]","서로의 감정이나 바라는 바를 진솔하게 표현하면서 갈등을 조정한다.","듣기·말하기","중학교","","","","갈등 상황을 명확히 파악하고 상호 존중하는 태도로 서로의 감정이나 바라는 바를 진솔하게 표현하면서 협력적으로 갈등을 조정할 수 있다.","갈등 상황을 파악하고 서로의 감정이나 바라는 바를 진솔하게 표현하면서 협력적으로 갈등을 조정할 수 있다.","갈등 상황에서 서로의 감정이나 바라는 바를 진솔하게 표현하면서 갈등을 조정할 수 있다.","갈등 상황에서 서로의 감정이나 바라는 바를 표현하며 부분적으로 갈등을 조정할 수 있다.","갈등 상황에서 서로의 감정이나 바라는 바를 부분적으로 표현한다.","",""
"[9국01-10]","언어폭력의 문제점을 성찰하고, 서로를 존중하는 표현을 사용하여 말한다.","듣기·말하기","중학교","","","","언어폭력의 문제점을 여러 측면에서 이해하고 자신의 언어 습관을 성찰하여 서로를 존중하는 말하기를 다양한 표현을 사용하여 지속적이고 능동적으로 실천할 수 있다.","","언어폭력의 문제점을 이해하고 자신의 언어 습관을 성찰하여 서로를 존중하는 표현을 사용하여 말할 수 있다.","","언어폭력의 문제점을 알고 서로를 존중하는 표현을 부분적으로 사용하여 말한다.","",""
