"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9기가01-01]","자아 존중감을 향상시키고 긍정적인 자아 정체성을 형성하기 위해 청소년기의 발달 특징을 자신의 발달 특징과 연결 지어 자신을 총체적으로 이해한다.","인간발달과 주도적 삶","중학교","","","","청소년기 발달의 특징과 자아 존중감 및 자아 정체성에 대한 이해를 바탕으로 청소년기 발달 특징을 자신에게 적용하여 발달을 긍정적으로 수용하고 타인에 대해 존중하는 태도를 갖는다.","청소년기 발달 특징과 자아 존중감 및 자아 정체성의 중요성을 바탕으로 발달 특징을 비교하여 발달을 긍정적으로 수용하고 타인에 대해 존중하는 태도를 갖는다.","청소년기 발달 특징과 자아 존중감 및 자아 정체성의 중요성을 바탕으로 발달 특징을 비교하여 발달을 긍정적으로 수용하고 타인에 대해 존중하는 태도를 갖는다.","청소년기 발달 특징과 자아 존중감 및 자아 정체성의 개념에 대한 이해를 바탕으로 발달 특징을 비교하여 발달을 긍정적으로 수용하는 태도를 갖는다.","청소년기 발달 특징과 자아 존중감 및 자아 정체성의 개념에 대한 이해를 바탕으로 청소년기 발달 특징을 설명하여 발달을 긍정적으로 수용하는 태도를 갖는다.","",""
"[9기가01-02]","의생활, 식생활이 청소년기 성장과 건강에 미치는 영향을 탐색하고 성장과 건강을 위해 바람직한 의생활과 식생활의 실천 방안을 탐색하여 이를 실천한다.","인간발달과 주도적 삶","중학교","","","","의생활, 식생활에 따른 청소년기 발달에 대한 이해를 바탕으로 바람직한 의생활과 식생활의 실천 방안을 탐색 및 실천하여 건강한 생활을 영위한다.","의생활, 식생활에 따른 청소년기 발달에 대한 이해를 바탕으로 바람직한 의생활과 식생활의 실천 방안을 탐색하여 건강한 생활을 영위한다.","청소년기 의생활, 식생활과 발달에 대한 이해를 바탕으로 바람직한 의생활과 식생활의 실천 방안을 탐색하여 건강한 생활을 영위한다.","청소년기 의생활, 식생활과 발달에 대한 이해를 바탕으로 바람직한 의생활과 식생활을 설명하여 건강한 생활의 중요성을 느낀다.","청소년기 의생활, 식생활의 개념을 이해하여 바람직한 의생활과 식생활을 설명하고 건강한 생활의 중요성을 느낀다.","",""
"[9기가01-03]","건강과 성장을 위한 청소년기 영양의 중요성을 이해하여 자신의 식생활을 평가하고, 식생활 문제를 개선하여 건강한 식생활을 실천한다.","인간발달과 주도적 삶","중학교","","","","영양과 건강 및 청소년기 영양의 중요성에 기반한 식생활 문제를 바탕으로 자신의 식생활을 평가 및 개선하고 건강한 식생활을 실천하여 일상생활에서 자기주도적 태도를 갖는다.","영양과 건강 및 청소년기 영양의 중요성에 기반한 식생활 문제를 바탕으로 자신의 식생활을 평가하고 개선방안을 탐색하여 일상생활에서 자기주도적 태도를 갖는다.","영양과 건강 및 청소년기 영양의 중요성과 식생활 문제를 바탕으로 자신의 식생활을 평가하고 개선방안을 탐색하여 일상생활에서 자기주도적 태도를 갖는다.","영양과 건강 및 청소년기 영양의 중요성과 식생활 문제를 바탕으로 자신의 식생활 문제를 파악하여 일상생활에서 자기주도적 태도의 필요성을 느낀다.","영양과 건강 및 식생활 문제의 개념을 바탕으로 자신의 식생활 문제를 파악하여 일상생활에서 자기주도적 태도를 갖는다.","",""
"[9기가01-04]","의복 디자인의 요소를 적용한 개성 있는 옷차림을 통해 자신을 긍정적으로 표현하고, 때와 장소, 시간을 고려한 옷차림을 탐색하여 타인을 배려하는 의생활을 실천할 수 있다.","인간발달과 주도적 삶","중학교","","","","의복디자인 요소 및 옷차림을 통한 자아표현 방법에 대한 이해를 바탕으로 의복디자인 요소를 고려한 옷차림을 통해 자신을 표현하여 자신에 대한 긍정적 태도를 갖는다.","의복디자인 요소 및 옷차림을 통한 자아표현 방법에 대한 이해를 바탕으로 자기이미지에 맞는 옷차림을 탐색하여 자신에 대한 긍정적 태도를 갖는다.","의복디자인 요소, 옷차림을 통한 자아표현의 중요성에 대한 이해를 바탕으로 자기이미지에 맞는 옷차림을 탐색하여 자신에 대한 긍정적인 태도를 갖는다.","의복 디자인 요소, 옷차림을 통한 자아표현의 중요성에 대한 이해를 바탕으로 의복 디자인 요소를 설명하여 자신에 대한 긍정적 태도의 필요성을 느낀다.","의복 디자인 요소에 대해 이해하여 설명하고 자신에 대한 긍정적 태도의 필요성을 느낀다.","",""
"[9기가01-05]","청소년기의 건강한 발달을 위협하는 스트레스, 분노, 우울 등의 여러 가지 행동 및 심리 문제의 원인을 분석하고, 적응 유연성을 기를 수 있는 다양한 예방 및 해결방안을 탐색하여 적용한다.","인간발달과 주도적 삶","중학교","","","","청소년기 행동 및 심리 문제를 위한 적응 유연성에 대한 이해를 바탕으로 문제 예방 및 해결방안을 탐색 및 적용하여 자기 조절 능력을 함양한다.","청소년기 행동 및 심리 문제를 위한 적응 유연성에 대한 이해를 바탕으로 문제 예방 및 해결방안을 탐색하여 자기 조절 능력을 함양한다.","청소년기 행동 및 심리 문제와 적응 유연성에 대한 이해를 바탕으로 문제 예방 및 해결방안을 탐색하여 자기 조절 능력을 함양한다.","청소년기 행동 및 심리 문제와 적응 유연성에 대한 이해를 바탕으로 문제 원인을 분석하여 자기 조절 능력의 필요성을 느낀다.","청소년기 행동 및 심리 문제를 이해하여 문제 원인을 분석하고 자기 조절 능력의 필요성을 느낀다.","",""
"[9기가01-06]","사회변화로 증가하는 여러 가지 청소년 중독의 유형을 탐색하여 이를 예방하고 대응할 수 있는 방안을 제안한다.","인간발달과 주도적 삶","중학교","","","","사회변화로 증가하는 청소년 중독의 유형에 대한 이해를 바탕으로 중독 예방 및 대응 방안을 탐색 및 제안한다.","사회변화로 증가하는 청소년 중독의 유형에 대한 이해를 바탕으로 중독 예방 및 대응 방안을 탐색한다.","사회변화와 청소년 중독의 유형에 대한 이해를 바탕으로 중독 예방 방안을 탐색한다.","청소년 중독의 유형에 대한 이해를 바탕으로 청소년 중독을 설명한다.","청소년 중독의 개념을 이해하여 설명한다.","",""
"[9기가01-07]","자기 이해를 기반으로 전 생애적 관점에서 진로 설계의 중요성을 인식하고, 자기 적성에 맞는 진로를 설계한다.","인간발달과 주도적 삶","중학교","","","","자기 이해에 기반한 전환기 탐색 및 진로 설계에 대한 이해를 바탕으자신의 적성에 맞는 진로를 탐색 및 설계하여 삶에 대해 자기주도적 태도를 갖는다.","자기 이해에 기반한 전환기 탐색 및 진로 설계에 대한 이해를 바탕으로 자신의 적성에 맞는 진로를 탐색하여 삶에 대해 자기주도적 태도를 갖는다.","자기 이해와 전환기 탐색 및 진로 설계에 대한 이해를 바탕으로 자신의 적성에 맞는 진로를 탐색하여 삶에 대해 자기주도적 태도를 갖는다.","자기 이해와 전환기 탐색 및 진로 설계에 대한 이해를 바탕으로 자신의 적성 및 진로 설계의 필요성을 설명하여 자기주도적인 삶의 중요성을 느낀다.","자기 이해와 진로 설계의 필요성을 바탕으로 자신의 적성 및 진로 설계의 필요성을 설명하여 자기주도적인 삶의 중요성을 느낀다.","",""
"[9기가01-08]","성적 자기 결정권의 중요성을 이해하고, 성 인지 감수성과 건강한 성 가치관을 함양하여 상호 존중의 관계를 실천할 수 있는 방안을 탐색한다.","인간발달과 주도적 삶","중학교","","","","성적 자기 결정권에 기반한 상호 존중 관계 형성에 대한 이해를 바탕으로 상호 존중 관계의 실천 방안을 탐색 및 실천하여 성인지 감수성을 함양한다.","성적 자기 결정권에 기반한 상호 존중 관계 형성에 대한 이해를 바탕으로 상호 존중 관계의 실천 방안을 탐색하여 성인지 감수성을 함양한다.","성적 자기 결정권과 상호 존중 관계 형성에 대한 이해를 바탕으로 상호 존중 관계의 실천 방안을 탐색하여 성인지 감수성을 함양한다.","성적 자기 결정권과 상호 존중 관계 형성에 대한 이해를 바탕으로 상호 존중 관계를 설명하여 성인지 감수성의 필요성을 느낀다.","성적 자기 결정권에 대한 이해하여 상호 존중 관계를 설명하고 성인지 감수성의 필요성을 느낀다.","",""
"[9기가01-09]","일상생활 및 가상공간에서 만나는 또래와 건강한 관계를 형성하고, 다양한 주변인들과 친밀한 세대 간 관계를 형성하는 방안을 탐색하여 실천한다.","인간발달과 주도적 삶","중학교","","","","확장된 생활환경 속 횡적, 종적 관계에 대한 이해를 바탕으로 건강하고 친밀한 관계를 형성하는 방안을 탐색 및 실천하여 다양한 생활 방식 및 타인에 대한 존중과 배려의 태도를 갖는다.","확장된 생활환경 속 횡적, 종적 관계에 대한 이해를 바탕으로 건강하고 친밀한 관계를 형성하는 방안을 탐색하여 다양한 생활 방식 및 타인에 대한 존중과 배려의 태도를 갖는다.","확장된 생활환경과 횡적, 종적 관계에 대한 이해를 바탕으로 건강하고 친밀한 관계를 형성하는 방안을 탐색하여 다양한 생활 방식 및 타인에 대한 존중과 배려의 태도를 갖는다.","확장된 생활환경과 횡적, 종적 관계에 대한 이해를 바탕으로 자신의 관계 형성 방안을 탐색하여 타인에 대한 존중과 배려의 태도를 갖는다.","횡적, 종적 관계에 대한 이해를 바탕으로 자신의 관계 형성 방안을 탐색하여 타인에 대한 존중과 배려의 태도를 갖는다.","",""
"[9기가01-10]","다양한 현대 가족에 내재된 가족생활의 보편성과 고유한 가치를 존중하는 동시에 가족에 대한 유연한 태도를 길러, 뉴노멀 사회에서의 새로운 가족문화를 탐색한다.","인간발달과 주도적 삶","중학교","","","","뉴노멀 사회 속 가족문화에 대한 이해를 바탕으로 시민적 역량과 관련된 가족의 역할과 가족문화를 탐색 및 실천하여 가족 친화적 가치를 존중한다.","뉴노멀 사회 속 가족문화에 대한 이해를 바탕으로 가족의 역할과 가족문화를 탐색하여 가족 친화적 가치를 존중한다.","뉴노멀 사회와 가족문화에 대한 이해를 바탕으로 가족의 역할과 가족문화를 탐색하여 가족 친화적 가치를 존중한다.","뉴노멀 사회와 가족문화에 대한 이해를 바탕으로 가족문화를 설명하여 가족 친화적 가치의 필요성을 느낀다.","가족문화의 개념을 이해하여 설명하고 가족 친화적 가치의 필요성을 느낀다.","",""
