"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9도01-01]","자신의 삶과 가치관에 대한 성찰을 통해 자아를 올바로 이해하고, 삶에서 도덕이 필요한 이유에 근거하여 도덕적인 삶에 대한 의지를 기른다.","자신과의 관계","중학교","","","","자신의 삶과 가치관에 대한 성찰을 통해 자아를 종합적으로 이해하고, 삶에서 도덕이 필요한 이유에 근거하여 생활전반에서 도덕적인 삶을 실천하려는 의지를 가진다.","자신의 삶과 가치관에 대한 성찰을 통해 자아를 다양한 측면에서 이해하고, 삶에서 도덕이 필요한 이유에 근거하여 도덕적인 삶을 실천하려는 의지를 가진다.","자신의 삶과 가치관에 대해 정리해 봄으로써 자아를 이해하고, 삶에서 도덕이 필요한 이유에 근거하여 도덕적인 삶을 실천하려는 의지를 가진다.","자신의 삶과 가치관에 대해 생각해 봄으로써 자아를 부분적으로 이해하고, 삶에서 도덕이 필요한 이유를 찾아보며 도덕적인 삶을 실천하려는 의지를 가진다.","자신의 삶과 가치관에 대해 생각해 봄으로써 자아를 부분적으로 이해하고, 삶에서 도덕이 필요한 이유를 찾아볼 수 있다.","",""
"[9도01-02]","일상에서 발생하는 부도덕한 행동의 여러 원인을 분석하고, 도덕적 인격이 갖추어야 할 특성들을 파악하여 이를 내면화하는 의지를 기른다.","자신과의 관계","중학교","","","","일상에서 발생하는 부도덕한 행동의 여러 원인을 분석하고, 도덕적 인격이 갖추어야 할 특성들을 파악하여 이를 내면화하려는 적극적인 의지를 가진다.","일상에서 발생하는 부도덕한 행동의 여러 원인을 나열하고, 도덕적 인격이 갖추어야 할 특성들을 파악하여 이를 내면화하려는 의지를 가진다.","일상에서 발생하는 부도덕한 행동의 여러 원인을 나열하고, 도덕적 인격이 갖추어야 할 특성들을 부분적으로 인식하여 이를 내면화하려는 의지를 가진다.","일상에서 발생하는 부도덕한 행동의 원인을 찾아보고, 도덕적 인격이 갖추어야 할 특성을 짐작한다.","일상에서 발생하는 부도덕한 행동의 원인을 찾아보고, 도덕적 인격이 갖추어야 할 특성이 있음을 안다.","",""
"[9도01-03]","행복에 관한 심리적, 사회적, 윤리적 접근 등을 통해 행복의 의미를 종합적으로 파악하고, 삶의 목적과 행복의 관계를 정립할 수 있다.","자신과의 관계","중학교","","","","행복에 관한 심리적, 사회적, 윤리적 접근에 대한 이해를 통해 행복의 의미를 종합적으로 파악하고, 삶의 목적과 행복의 관계를 정립할 수 있다.","행복에 관한 심리적, 사회적, 윤리적 접근에 대한 이해를 통해 행복의 의미를 다양한 측면에서 파악하고, 삶의 목적과 행복의 관계를 모색할 수 있다.","행복에 관한 심리적, 사회적, 윤리적 접근에 대한 관심을 통해 행복의 의미를 파악하고, 삶의 목적과 행복을 관련지을 수 있다.","행복에 관한 일반적 이해를 통해 행복의 의미를 부분적으로 파악하고, 삶의 목적과 행복을 관련지을 수 있다.","행복에 관한 일반적 이해를 통해 행복의 의미를 부분적으로 파악할 수 있다.","",""
"[9도01-04]","옳고 그름을 분별할 수 있는 도덕적 기준을 탐구하고, 도덕적 상상력을 바탕으로 일상의 도덕 문제들에 도덕적 추론을 적용할 수 있다.","자신과의 관계","중학교","","","","옳고 그름을 분별할 수 있는 도덕적 기준을 조사하여 분류하고, 도덕적 상상력을 바탕으로 일상의 도덕 문제들에 대해 도덕적 추론을 할 수 있다.","옳고 그름을 분별할 수 있는 도덕적 기준을 찾아보고, 도덕적 상상력을 바탕으로 일상의 도덕 문제들에 대해 도덕적 추론을 할 수 있다.","옳고 그름을 분별할 수 있는 도덕적 기준을 찾아보고, 도덕적 상상력을 바탕으로 제시된 도덕 문제들에 대해 도덕적 추론을 할 수 있다.","옳고 그름을 분별할 수 있는 도덕적 기준을 찾아보려 하고, 제시된 도덕 문제들에 대해 제한적으로 도덕적 추론을 할 수 있다.","옳고 그름을 분별할 수 있는 도덕적 기준이 있음을 알고, 제시된 도덕 문제들에 대해 도덕적 추론을 시도해 볼 수 있다.","",""
"[9도01-05]","삶의 유한함에 관한 성찰을 통해 생명의 소중함과 의미 있는 삶의 중요성을 인식하고, 자신의 미래 모습을 상상하며 삶을 계획하고 이를 실천하는 의지를 기른다.","자신과의 관계","중학교","","","","삶의 유한함에 관한 성찰을 통해 생명의 소중함과 의미 있는 삶의 중요성을 인식하고, 자신의 미래 모습을 상상하며 구체적으로 삶을 계획하고, 이를 적극적으로 실천하려는 의지를 가진다.","삶의 유한함에 관한 성찰을 통해 생명의 소중함과 의미 있는 삶의 중요성을 인식하고, 자신의 미래 모습을 상상하며 삶을 계획하고, 이를 실천하려는 의지를 가진다.","삶의 유한함에 관해 생각해 봄으로써 생명의 소중함과 의미 있는 삶의 중요성을 확인하고, 자신의 미래 모습을 상상하며 삶을 계획하고, 이를 실천하려는 의지를 가진다.","삶의 유한함에 관해 생각해 봄으로써 생명의 소중함과 의미 있는 삶의 중요성을 확인하고, 자신의 미래 모습을 상상해 볼 수 있다.","생명의 소중함과 의미 있는 삶의 중요성을 확인하고, 자신의 미래 모습을 상상해 볼 수 있다.","",""
"[9도01-06]","내면에 대한 성찰을 통해 심리적 고통과 불안, 우울감 등의 원인을 찾고, 마음의 평온을 얻을 수 있는 방안들을 다각적으로 모색하여 실천할 수 있다.","자신과의 관계","중학교","","","","내면에 대한 성찰을 통해 심리적 고통과 불안, 우울감 등의 원인을 찾고 마음의 평온을 얻을 수 있는 방안들을 다각적으로 모색하여 적극적으로 실천할 수 있다.","내면에 대한 성찰을 통해 심리적 고통과 불안, 우울감 등의 원인을 찾고 마음의 평온을 얻을 수 있는 방안들을 모색하여 실천할 수 있다.","내면에 대한 성찰을 통해 심리적 고통과 불안, 우울감 등의 원인을 찾으려 노력하고 마음의 평온을 얻을 수 있는 방안들을 모색하여 실천할 수 있다.","심리적 고통과 불안, 우울감 등의 원인을 찾으려 노력하고 마음의 평온을 얻을 수 있는 방안들을 떠올려 본다.","심리적 고통과 불안, 우울감 등의 원인을 생각해 보고 마음의 평온을 얻을 수 있는 방안들을 떠올려 본다.","",""
"[9도01-07]","삶에서 직업이 갖는 의미와 가치를 파악하며, 사례 탐구를 통해 직업적 양심과 직업윤리의 필요성을 정당화할 수 있다.","자신과의 관계","중학교","","","","삶에서 직업이 갖는 의미와 가치를 파악하며, 사례 탐구를 통해 직업적 양심과 직업윤리의 필요성을 근거를 들어 타당하게 설명할 수 있으며, 직업적 양심을 키워가는 적극적인 자세를 가진다.","삶에서 직업이 갖는 의미와 가치를 인식하며, 사례 탐구를 통해 직업적 양심과 직업윤리의 필요성을 근거를 들어 설명할 수 있으며, 직업적 양심을 키워가는 자세를 가진다.","삶에서 직업이 갖는 의미와 가치를 짐작하며, 사례 탐구를 통해 직업적 양심과 직업윤리의 필요성에 대해 생각해 볼 수 있으며, 직업적 양심을 키워가는 자세를 가진다.","삶에서 직업이 의미와 가치를 가진다는 점을 알며, 주어진 사례를 통해 직업적 양심과 직업윤리의 필요성에 대해 생각해 볼 수 있으며, 직업적 양심을 키워가는 자세를 가진다.","삶에서 직업이 의미와 가치를 가진다는 점을 알며, 주어진 사례를 통해 직업적 양심과 직업윤리의 필요성에 대해 생각해 볼 수 있다.","",""
"[9도02-01]","정서적, 배려적 공동체로서 가정의 특성과 도덕적 기능을 파악하고, 가정에서 발생하는 갈등을 공감적인 소통과 민주적인 과정을 통해 해소하는 의지를 기른다.","타인과의 관계","중학교","","","","정서적, 배려적 공동체로서 가정의 특성과 도덕적 기능을 다각도로 파악하고, 공감적인 소통과 민주적인 과정을 통해 가정에서 발생하는 갈등을 해소하려는 적극적인 의지를 가진다.","정서적, 배려적 공동체로서 가정의 특성과 도덕적 기능을 파악하고, 공감적인 소통과 민주적인 과정을 통해 가정에서 발생하는 갈등을 해소하려는 적극적인 의지를 가진다.","정서적, 배려적 공동체로서 가정의 특성과 도덕적 기능을 인식하고, 공감적인 소통과 민주적인 과정을 통해 가정에서 발생하는 갈등을 해소하려는 의지를 가진다.","정서적, 배려적 공동체로서 가정의 특성과 도덕적 기능을 짐작하고, 소통의 자세와 민주적인 과정을 통해 가정에서 발생하는 갈등을 해소하는 데 관심을 가진다.","정서적, 배려적 공동체로서 가정의 특성과 도덕적 기능이 있음을 알고, 가정에서 발생하는 갈등을 해소하는 데 관심을 가진다.","",""
"[9도02-02]","친구의 의미와 가치를 삶의 맥락 속에서 탐구하고, 서로를 인격적으로 존중하는 친구 관계를 상상하며 이를 실현하는 의지를 기른다.","타인과의 관계","중학교","","","","친구의 의미와 가치를 전반적인 삶의 맥락 속에서 탐구하고, 서로를 인격적으로 존중하는 친구 관계를 구체적으로 상상하며 이를 실현하려는 지속적인 의지를 가진다.","친구의 의미와 가치를 전반적인 삶의 맥락 속에서 탐구하고, 서로를 인격적으로 존중하는 친구 관계를 구체적으로 상상하며 이를 실현하려는 의지를 가진다.","친구의 의미와 가치를 부분적인 삶의 맥락 속에서 생각해 보고, 서로를 인격적으로 존중하는 친구 관계를 상상하며 이를 실현하려는 의지를 가진다.","친구의 의미와 가치를 부분적인 삶의 맥락 속에서 생각해 보고, 서로를 인격적으로 존중하는 친구 관계를 상상할 수 있다.","친구의 의미와 가치를 떠올려 보고, 서로를 인격적으로 존중하는 친구 관계를 상상할 수 있다.","",""
"[9도02-03]","가상공간과 현실 세계에 대한 비교･분석을 바탕으로 가상공간에서 발생하는 도덕 문제들의 원인과 해결 방안을 제안하고, 타인을 존중하며 가상공간을 활용하는 태도를 함양한다.","타인과의 관계","중학교","","","","가상공간과 현실 세계 사이의 공통점과 차이점을 비교하고 분석함으로써 가상공간에서 발생하는 다양한 도덕 문제들의 원인과 효과적인 해결 방안을 제안하고, 타인을 존중하며 가상공간을 활용하는 태도를 적극적으로 보인다.","가상공간과 현실 세계 사이의 공통점과 차이점을 분석함으로써 가상공간에서 발생하는 도덕 문제들의 원인과 해결 방안을 제안하고, 타인을 존중하며 가상공간을 활용하는 태도를 보인다.","가상공간과 현실 세계 사이의 공통점과 차이점을 나열함으로써 가상공간에서 발생하는 도덕 문제들의 원인과 해결 방안을 생각해 보고, 타인을 고려하며 가상공간을 활용하고자 노력한다.","가상공간과 현실 세계 사이에 공통점과 차이점이 있음을 앎으로써 가상공간에서 발생하는 도덕 문제들의 원인을 생각해 보고, 타인을 고려하며 가상공간을 활용하고자 노력한다.","가상공간과 현실 세계 사이에 공통점과 차이점이 있음을 앎으로써 가상공간에서 발생하는 도덕 문제들의 원인을 생각해 볼 수 있다.","",""
