"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9미01-01]","감각을 활용하여 대상과 현상을 탐색하고 자신과 환경에 대한 감수성을 확장할 수 있다.","미적 체험","중학교","","","","다양한 감각을 활용하여 대상과 현상을 탐색하고, 미적 인식을 통해 자신과 환경에 대한 감수성을 확장할 수 있다.","감각을 활용하여 대상과 현상을 탐색하고 자신과 환경에 대한 감수성을 확장할 수 있다.","감각을 활용하여 대상과 현상을 일부 탐색하고 자신과 환경에 대한 감수성을 확장하기 위해 노력한다.","","","",""
"[9미01-02]","시각 문화의 의미와 역할을 알고 이미지를 비판적으로 해석할 수 있다.","미적 체험","중학교","","","","시각 문화의 의미와 역할을 구체적으로 이해하고, 다양한 이미지의 사례를 찾아 비판적으로 해석할 수 있다.","시각 문화의 의미와 역할을 알고 이미지를 비판적으로 해석할 수 있다.","시각 문화의 의미와 역할을 부분적으로 알고 이미지의 비판적인 해석을 시도할 수 있다.","","","",""
"[9미01-03]","다양한 문화를 존중하며 이미지를 활용하여 소통할 수 있다.","미적 체험","중학교","","","","다양한 문화의 고유한 가치를 존중하는 태도를 바탕으로 이미지를 활용하여 적극적으로 소통할 수 있다.","다양한 문화를 존중하는 태도를 바탕으로 이미지를 활용하여 소통할 수 있다.","다양한 문화를 존중하려고 노력하며 이미지가 소통에 활용될 수 있음을 안다.","","","",""
"[9미01-04]","삶과 미술의 관계를 이해하고 다양한 분야와의 연결 방안을 모색할 수 있다.","미적 체험","중학교","","","","삶과 미술의 관계를 구체적인 사례를 통해 이해하고 미술과 다양한 분야와의 연결 방안을 적극적으로 모색할 수 있다.","삶과 미술의 관계를 이해하고 미술과 다양한 분야와의 연결 방안을 모색할 수 있다.","삶과 미술의 관계를 일부 이해하고 미술과 다양한 분야와의 연결 방안을 부분적으로 모색할 수 있다.","","","",""
"[9미02-01]","주제를 탐구하고 의도를 반영하여 적합한 계획을 할 수 있다.","표현","중학교","","","","주제를 적극적으로 탐구하고 의도를 구체적으로 반영하여 적합한 표현을 계획할 수 있다.","주제를 탐구하고 의도를 반영하여 적합한 표현을 계획할 수 있다.","주제를 제한적으로 탐구하고 의도를 일부 반영하여 표현을 계획할 수 있다.","","","",""
"[9미02-02]","주도적이고 도전적인 태도로 다양한 미술 표현을 실험하고 작품에 적용할 수 있다.","표현","중학교","","","","주도적이고 도전적인 태도로 다양하고 새로운 미술 표현을 실험하여 작품에 효과적으로 적용할 수 있다.","주도적이고 도전적인 태도로 다양한 미술 표현을 실험하고 작품에 적용할 수 있다.","주도적인 태도로 다양한 미술 표현을 작품에 적용하려고 시도할 수 있다.","","","",""
"[9미02-03]","조형 요소와 원리, 표현 재료와 방법, 디지털 매체를 포함한 다양한 매체를 활용하여 주제를 효과적으로 표현할 수 있다.","표현","중학교","","","","조형 요소와 원리, 표현 재료와 방법, 디지털 매체를 포함한 다양한 매체의 특성을 이해하고 설명할 수 있으며 이를 종합적으로 활용하여 주제를 효과적으로 표현할 수 있다.","조형 요소와 원리, 표현 재료와 방법, 디지털 매체를 포함한 다양한 매체의 특성을 이해하고 이를 활용하여 주제를 효과적으로 표현할 수 있다.","조형 요소와 원리, 표현 재료와 방법, 디지털 매체를 포함한 다양한 매체의 특성을 알고 이를 활용하여 주제 표현을 시도할 수 있다.","","","",""
"[9미 02-04]","자신과 타인의 작품을 존중하며, 다양한 방법으로 공유하고 소통할 수 있다.","표현","중학교","","","","자신과 타인의 작품을 존중하는 태도를 내면화하고 다양한 방법으로 공유하여 적극적으로 소통할 수 있다.","자신과 타인의 작품을 존중하며, 다양한 방법으로 공유하고 소통할 수 있다.","자신과 타인의 작품을 존중하는 태도를 기르려고 노력하며, 다양한 방법으로 공유하고 제한적으로 소통할 수 있다.","","","",""
"[9미02-05]","미술 표현 과정에서의 경험을 성찰하고 삶의 문제 해결에 활용할 수 있다.","표현","중학교","","","","미술 표현 과정에서의 경험을 적극적으로 성찰하고 삶의 문제 해결에 구체적으로 활용할 수 있다.","미술 표현 과정에서의 경험을 성찰하고 삶의 문제 해결에 활용할 수 있다.","미술 표현 과정에서의 경험을 돌아보며 삶의 문제 해결에 부분적으로 활용할 수 있다.","","","",""
"[9미03-01]","미술의 시대적, 지역적, 사회적 맥락을 이해하고 설명할 수 있다.","감상","중학교","","","","미술의 시대적, 지역적, 사회적 맥락을 종합적으로 이해하고 이를 미술 작품에 적극적으로 연결하여 설명할 수 있다.","미술의 시대적, 지역적, 사회적 맥락을 이해하고 이를 미술 작품에 연결하여 설명할 수 있다.","미술의 시대적, 지역적, 사회적 맥락을 일부 이해하고 이를 미술 작품에 부분적으로 연결하여 설명할 수 있다.","","","",""
"[9미03-02]","작품의 내용과 형식을 분석하고 미술 용어와 지식을 활용하여 설명할 수 있다.","감상","중학교","","","","작품의 내용과 형식을 다양한 방법으로 분석하고 미술 용어와 지식을 활용하여 구체적으로 설명할 수 있다.","작품의 내용과 형식을 분석하고 미술 용어와 지식을 활용하여 설명할 수 있다.","작품의 내용과 형식을 미술 용어와 지식을 활용하여 부분적으로 설명할 수 있다.","","","",""
"[9미03-03]","다양한 감상 방법과 관점을 활용하여 작품을 해석할 수 있다.","감상","중학교","","","","다양한 감상 방법과 관점을 적절하게 활용하여 미술 작품을 주도적으로 해석할 수 있다.","다양한 감상 방법과 관점을 활용하여 미술 작품을 해석할 수 있다.","감상 방법과 관점을 일부 활용하여 미술 작품을 부분적으로 해석할 수 있다.","","","",""
"[9미03-04]","미술의 다원성에 대한 존중을 바탕으로 미술 감상 경험을 삶과 연결하고 공동체 문화에 기여할 수 있다.","감상","중학교","","","","미술의 다원성에 대한 존중을 바탕으로 미술 감상 경험을 삶과 구체적으로 연결하고 공동체 문화에 기여하기 위해 적극적으로 참여할 수 있다.","미술의 다원성에 대한 존중을 바탕으로 미술 감상 경험을 삶과 연결하고 공동체 문화에 기여하기 위해 참여할 수 있다.","미술의 다원성에 대한 존중을 바탕으로 미술 감상 경험을 삶과 부분적으로 연결하고 공동체 문화에 기여하기 위해 노력한다.","","","",""
