"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9사(지리)01-01]","세계 여러 지역의 특성을 해당 지역의 위치와 자연･인문환경을 고려하여 추론한다.","세계화 시대, 지리의 힘","중학교","","","","세계 여러 지역의 위치와 자연･인문환경 특성을 고려한 지리 정보를 종합하여 지역의 특성을 추론하고 세계 각 지역의 다양성을 이해하며 이를 존중할 수 있다.","세계 여러 지역의 위치와 자연･인문환경 특성을 고려한 지리 정보를 비교･대조하여 지역의 특성을 파악하고 세계 각 지역의 다양성을 이해할 수 있다.","세계 여러 지역의 위치와 자연･인문환경 특성을 고려한 지리 정보를 비교하여 지역의 특성을 파악하고 세계 각 지역의 차이를 이해할 수 있다.","세계 여러 지역의 위치에 따라 나타나는 자연･인문환경 특성을 확인하고 세계 각 지역의 차이를 인식할 수 있다.","세계 여러 지역의 위치와 자연･인문환경 요소를 확인하고 세계 각 지역의 차이에 대해 관심을 가질 수 있다.","",""
"[9사(지리)01-02]","다양한 스케일에서 지역이 서로 연계되어 있음을 공간적 상호작용의 사례를 통해 파악한다.","세계화 시대, 지리의 힘","중학교","","","","공간적 상호작용의 사례를 탐구하고 교통･통신의 발달이 다양한 스케일에서 지역의 상호연계성 및 상호의존성에 영향을 미친다는 것을 설명할 수 있다.","공간적 상호작용의 사례를 조사하고 교통･통신의 발달이 다양한 스케일에서 지역의 상호연계성에 영향을 미친다는 것을 파악할 수 있다.","공간적 상호작용의 사례를 탐색하고 다양한 스케일에서 지역이 서로 연결되어 있음을 파악할 수 있다.","공간적 상호작용의 사례를 통해 지역이 서로 연결되어 있음을 이해할 수 있다.","공간적 상호작용의 사례를 제시할 수 있다.","",""
"[9사(지리)01-03]","세계의 변화가 지역에 영향을 미치고 지역의 변화가 세계에 영향을 미치는 사례를 조사한다. ※ 내용 체계표의 가치･태도 요소를 포함하여 성취수준 개발","세계화 시대, 지리의 힘","중학교","","","","세계의 변화가 지역에 영향을 미치고 지역의 변화가 세계에 영향을 미친 사례를 조사 및 비교하여, 글로벌-로컬 관계에서 세계 여러 지역의 변화를 파악하며, 세계 여러 지역의 역동성을 설명할 수 있다.","세계의 변화가 지역에 영향을 미치고 지역의 변화가 세계에 영향을 미친 사례를 조사하고, 글로벌-로컬 관계에서 세계 여러 지역의 변화를 파악할 수 있다.","세계의 변화가 지역에 영향을 미치고 지역의 변화가 세계에 영향을 미친 사례를 탐색하고, 세계화와 지역화로 인한 세계 여러 지역의 변화를 이해할 수 있다.","세계의 변화가 지역에 영향을 미치고 지역의 변화가 세계에 영향을 미친 사례를 탐색하고, 세계화로 인한 지역 변화를 이해할 수 있다.","세계의 변화가 지역에 영향을 미치고 지역의 변화가 세계에 영향을 미친 사례를 열거할 수 있다.","",""
"[9사(지리)02-01]","다양한 지리 정보와 매체를 활용하여 아시아의 국가와 주요 도시의 위치를 파악하고 자연환경의 특성을 지도로 표현한다.","아시아","중학교","","","","다양한 지리 정보와 매체를 활용하여 아시아의 국가와 주요 도시의 위치를 파악하고, 자연환경의 특성을 지리적으로 시각화하여 표현할 수 있다.","다양한 지리 정보와 매체를 활용하여 아시아의 국가와 주요 도시의 위치를 파악하고, 자연환경의 특성을 지도로 표현할 수 있다.","다양한 지리 정보와 매체를 활용하여 아시아의 국가와 주요 도시의 위치를 파악하고, 자연환경의 특성을 지도에 표시할 수 있다.","지리 정보와 매체를 활용하여 아시아의 국가와 주요 도시의 위치를 파악하고 자연환경의 특성을 지도를 통해 확인할 수 있다.","지리 정보와 매체를 활용하여 아시아의 국가와 주요 도시의 위치, 자연환경의 특성을 확인할 수 있다.","",""
"[9사(지리)02-02]","종교와 관련된 아시아의 다양한 문화경관과 생활양식을 파악하고, 세계시민으로서 문화 다양성에 대한 이해와 수용성을 높인다. ※ 내용 체계표의 가치･태도 요소를 포함하여 성취수준 개발","아시아","중학교","","","","종교와 관련된 아시아의 문화경관 및 생활양식의 사례를 조사하고, 문화 공존 지역과 갈등 지역에 대해 종교별로 분석하며 세계시민으로서 문화 다양성을 존중하고 수용할 수 있다.","종교와 관련된 아시아의 문화경관 및 생활양식의 사례를 조사하고, 다양한 종교의 공존과 갈등을 이해하며 문화 다양성의 중요성을 이해할 수 있다.","종교와 관련된 아시아의 문화경관 및 생활양식을 구체적인 사례를 통해 파악하고 문화 다양성의 중요성을 인식할 수 있다.","종교와 관련된 아시아의 문화경관 및 생활양식의 사례를 탐색하고 문화 다양성을 이해할 수 있다.","종교와 관련된 아시아의 문화경관을 제시하고 문화 다양성을 인식할 수 있다.","",""
"[9사(지리)02-03]","아시아의 인구 특징을 파악하고 지역별 인구 구조 변화를 비교하여 지역 발전의 가능성 및 변화 모습을 추론한다.","아시아","중학교","","","","아시아의 인구 특징과 지역별 인구 구조의 변화를 비교･분석하여 지역의 발전 가능성과 변화 모습을 추론하며 지역 발전을 위한 아이디어를 제안할 수 있다.","아시아의 인구 특징과 지역별 인구 구조의 변화를 비교･분석하여 지역 발전의 가능성과 변화 모습을 추론할 수 있다.","인구 지표를 통해 아시아의 인구 특징을 파악하고, 지역별 인구 구조의 변화를 비교하여 지역 발전의 가능성과 변화 모습을 예측할 수 있다.","인구 지표를 통해 아시아 지역의 인구 특징을 파악하고, 지역의 변화를 예측할 수 있다.","아시아 지역의 인구 특징을 알고 지역의 변화를 인식할 수 있다.","",""
"[9사(지리)02-04]","글로컬 관점에서 아시아의 산업 특징과 변화를 파악하고, 이것이 우리나라 산업에 미치는 영향을 탐색한다. ※ 내용 체계표의 가치･태도 요소를 포함하여 성취수준 개발","아시아","중학교","","","","글로컬 관점에서 아시아의 다양한 산업 특징과 변화를 조사하고 우리나라 산업에 미친 영향을 다양한 관점에서 탐구하며, 미래 일자리 변화를 예측하고 자신의 진로와 연계할 수 있다.","글로컬 관점에서 아시아의 산업 특징과 변화를 조사하고 우리나라 산업에 미친 영향을 다각도로 탐색하며, 미래 일자리 변화를 예측하고 자신의 진로와 연계할 수 있다.","다양한 스케일에서 아시아의 산업 특징과 변화를 파악하고 우리나라 산업에 미치는 영향을 탐색하며, 미래 일자리 변화를 예측하고 진로 탐색에 관심을 가질 수 있다.","아시아의 산업 특징과 변화를 파악하고 우리나라의 산업 변화에 미치는 영향을 탐색하며 미래 일자리 변화를 예측할 수 있다.","아시아의 산업 특징과 변화를 알고 우리나라 산업의 변화를 인식할 수 있다.","",""
"[9사(지리)03-01]","다양한 지리 정보와 매체를 활용하여 유럽의 국가와 주요 도시의 위치를 파악하고 자연환경의 특성을 지도로 표현한다.","유럽","중학교","","","","다양한 지리 정보와 매체를 활용하여 유럽의 국가와 주요 도시의 위치를 파악하고, 자연환경의 특성을 지리적으로 시각화하여 표현할 수 있다.","다양한 지리 정보와 매체를 활용하여 유럽의 국가와 주요 도시의 위치를 파악하고, 자연환경의 특성을 지도로 표현할 수 있다.","다양한 지리 정보와 매체를 활용하여 유럽의 국가와 주요 도시의 위치를 파악하고, 자연환경의 특성을 지도에 표시할 수 있다.","지리 정보와 매체를 활용하여 유럽의 국가와 주요 도시의 위치를 파악하고 자연환경의 특성을 지도를 통해 확인할 수 있다.","지리 정보와 매체를 활용하여 유럽의 국가와 주요 도시의 위치, 자연환경의 특성을 확인할 수 있다.","",""
"[9사(지리)03-02]","다양한 유형의 유럽 도시를 탐색하고, 기후위기에 대응하여 지속가능한 도시를 만들기 위한 노력을 조사한다. ※ 내용 체계표의 가치･태도 요소를 포함하여 성취수준 개발","유럽","중학교","","","","다양한 유형의 유럽 도시를 탐구하고, 기후위기에 대응하는 지속가능한 도시를 만들기 위한 노력에 동참하며 우리나라 도시 개발의 방향성을 제안할 수 있다.","유럽 도시를 조사하고, 기후위기에 대응하는 지속가능한 도시를 만들기 위한 노력에 지속적인 관심을 가지며 우리나라 도시 개발에 주는 시사점을 제시할 수 있다.","유럽 도시를 탐색하고, 기후위기에 대응하는 지속가능한 도시를 만들기 위한 노력에 지속적인 관심을 가지며 우리나라 도시와 비교할 수 있다.","유럽 도시의 사례를 통해 기후위기에 대응하는 지속가능한 도시를 만들기 위한 노력에 지속적인 관심을 가질 수 있다.","유럽 도시를 통해 기후위기에 대응하는 지속가능한 도시를 만들기 위한 노력에 관심을 가질 수 있다.","",""
"[9사(지리)03-03]","지역 간 역학관계에 따른 유럽의 통합과 분리의 움직임이 유럽연합의 변화와 주민 생활에 미치는 영향을 탐색한다.","유럽","중학교","","","","지역 간 역학관계에 따른 유럽의 통합과 분리 움직임의 사례를 조사하고 유럽연합의 변화와 주민 생활에 미치는 영향을 설명할 수 있다.","지역 간 역학관계에 따른 유럽의 통합과 분리 움직임의 사례를 조사하고 유럽연합의 변화와 주민 생활에 미치는 영향을 파악할 수 있다.","지역 간 역학관계에 따른 유럽의 통합과 분리 움직임의 사례를 탐색하고 유럽연합의 변화에 미치는 영향을 이해할 수 있다.","지역 간 역학관계에 따른 유럽의 통합과 분리 움직임의 사례를 제시하고 유럽연합의 변화에 미치는 영향을 알 수 있다.","유럽연합 가입을 희망하는 국가와 분리･독립하려는 국가의 사례를 열거하고 유럽연합의 변화를 인식할 수 있다.","",""
