"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9생독01-01]","낱말이나 간단한 구를 듣고 소리와 낱말을 식별한다.","듣기","중학교","","","","다양한 발음 규칙에 유의하여 낱말이나 간단한 구를 듣고 소리와 낱말을 정확하게 식별할 수 있다.","다양한 발음 규칙에 유의하여 낱말이나 간단한 구를 듣고 소리와 낱말을 비교적 정확하게 식별할 수 있다.","발음 규칙에 유의하여 낱말이나 간단한 구를 듣고 소리와 낱말을 대체적으로 식별할 수 있다.","일부 발음 규칙에 유의하여 낱말이나 간단한 일부 구를 듣고 소리와 낱말을 부분적으로 식별할 수 있다.","낱말을 듣고 소리와 일부 낱말을 제한적으로 식별할 수 있다.","",""
"[9생독01-02]","낱말이나 간단한 구, 간단하고 쉬운 문장, 간단하고 쉬운 대화를 듣고 의미를 이해한다. ※ 내용 체계표의 가치･태도 요소를 포함하여 성취수준 개발","듣기","중학교","","","","다양한 관점과 의견에 대한 공감과 수용의 자세로 간단하고 쉬운 문장과 대화를 듣고 의미를 정확하게 이해한다.","다양한 관점과 의견에 대한 공감과 수용의 자세로 간단하고 쉬운 문장과 대화를 듣고 의미를 비교적 정확하게 이해한다.","다양한 관점과 의견에 대한 공감과 수용의 자세를 부분적으로 보이며 간단한 구, 간단하고 쉬운 일부 문장과 대화를 듣고 의미를 대략적으로 이해한다.","다양한 관점과 의견에 대한 공감과 수용의 자세를 부분적으로 보이며 낱말이나 간단한 일부 구를 듣고 의미를 부분적으로 이해한다.","일부 낱말을 듣고 의미를 제한적으로 이해한다.","",""
"[9생독01-03]","상대방의 말을 경청하며 적극적으로 호응한다.","듣기","중학교","","","","상대방의 말을 경청하며 적극적으로 호응할 수 있다.","","상대방의 말을 경청하는 자세와 적극성을 부분적으로 보이며 호응할 수 있다.","","상대방의 말을 듣고 제한적으로 호응할 수 있다.","",""
"[9생독02-01]","낱말이나 간단한 구, 간단하고 쉬운 문장을 발음 규칙에 유의하여 말한다.","말하기","중학교","","","","간단하고 쉬운 문장을 다양한 발음 규칙에 유의하여 정확하게 말할 수 있다.","간단하고 쉬운 문장을 다양한 발음 규칙에 유의하여 비교적 정확하게 말할 수 있다.","간단한 구, 간단하고 쉬운 일부 문장을 발음 규칙에 유의하여 대체적으로 말할 수 있다.","낱말이나 간단한 일부 구를 일부 발음 규칙에 유의하여 부분적으로 말할 수 있다.","일부 낱말을 제한적으로 말할 수 있다.","",""
"[9생독02-02]","간단하고 쉬운 의사소통 표현을 사용하여 상황에 맞게 말한다. ※ 내용 체계표의 가치･태도 요소를 포함하여 성취수준 개발","말하기","중학교","","","","협력적으로 소통하는 자세로 간단하고 쉬운 다양한 의사소통 표현을 사용하여 상황에 맞게 적절히 말할 수 있다.","협력적으로 소통하는 자세로 간단하고 쉬운 다양한 의사소통 표현을 사용하여 상황에 맞게 비교적 적절히 말할 수 있다.","협력적으로 소통하는 자세를 부분적으로 보이며 간단하고 쉬운 의사소통 표현을 사용하여 상황에 맞게 대체적으로 말할 수 있다.","협력적으로 소통하는 자세를 부분적으로 보이며 간단하고 쉬운 의사소통 표현을 사용하여 상황에 맞게 부분적으로 말할 수 있다.","간단하고 쉬운 일부 의사소통 표현을 사용하여 제한적으로 말할 수 있다.","",""
"[9생독02-03]","상대방을 존중하며 말하기 활동에 적극적으로 참여한다.","말하기","중학교","","","","상대방을 존중하며 말하기 활동에 적극적으로 참여할 수 있다.","","상대방을 존중하며 말하기 활동에 부분적으로 적극성을 보이며 참여할 수 있다.","","상대방을 존중하는 태도를 가지려 노력하며 말하기 활동에 제한적으로 참여할 수 있다.","",""
"[9생독03-01]","말이나 간단한 구, 간단하고 쉬운 문장을 발음 규칙에 유의하여 소리 내어 읽는다. ※ 내용 체계표의 가치･태도 요소를 포함하여 성취수준 개발","읽기","중학교","","","","읽기 자료에 많은 흥미를 갖고 집중하여, 간단하고 쉬운 문장을 다양한 발음 규칙에 유의하여 정확하게 소리 내어 읽을 수 있다.","읽기 자료에 많은 흥미를 갖고 집중하여, 간단하고 쉬운 문장을 다양한 발음 규칙에 유의하여 비교적 정확하게 소리 내어 읽을 수 있다.","읽기 자료에 흥미를 갖고 부분적으로 집중하여, 간단한 구, 간단하고 쉬운 일부 문장을 발음 규칙에 유의하여 대체적으로 소리 내어 읽을 수 있다.","읽기 자료에 흥미를 갖고 부분적으로 집중하여, 낱말이나 간단한 일부 구를 발음 규칙에 유의하여 부분적으로 소리 내어 읽을 수 있다.","읽기 자료에 다소 흥미를 갖고 일부 낱말을 제한적으로 소리 내어 읽을 수 있다.","",""
"[9생독03-02]","낱말이나 간단한 구, 간단하고 쉬운 문장을 읽고  ※ 내용 체계표의 가치･태도 요소를 포함하여 성취수준 개발","읽기","중학교","","","","타인의 경험과 견해에 대하여 존중하는 자세로 간단하고 쉬운 문장을 읽고 의미와 내용을 정확하게 파악한다.","타인의 경험과 견해에 대하여 존중하는 자세로 간단하고 쉬운 문장을 읽고 의미와 내용을 비교적 정확하게 파악한다.","타인의 경험과 견해에 대하여 존중하는 자세를 부분적으로 보이며 간단한 구, 간단하고 쉬운 일부 문장을 읽고 의미와 내용을 대략적으로 파악한다.","타인의 경험과 견해에 대하여 존중하는 자세를 부분적으로 보이며 낱말이나 간단한 일부 구를 읽고 의미와 내용을 부분적으로 파악한다.","일부 낱말을 읽고 의미를 제한적으로 파악한다.","",""
"[9생독03-03]","간단하고 쉬운 대화문이나 텍스트를 읽고 정보를 파악한다. ※ 내용 체계표의 가치･태도 요소를 포함하여 성취수준 개발","읽기","중학교","","","","다양한 관점과 의견에 대한 공감과 수용의 자세로 간단하고 쉬운 대화문이나 텍스트를 읽고 정보를 정확하게 파악한다.","다양한 관점과 의견에 대한 공감과 수용의 자세로 간단하고 쉬운 대화문이나 텍스트를 읽고 정보를 비교적 정확하게 파악한다.","다양한 관점과 의견에 대한 공감과 수용의 자세를 부분적으로 보이며 간단하고 쉬운 대화문이나 텍스트를 읽고 정보를 대략적으로 파악한다.","다양한 관점과 의견에 대한 공감과 수용의 자세를 부분적으로 보이며 간단하고 쉬운 대화문이나 텍스트를 읽고 간단한 정보를 부분적으로 파악한다.","간단하고 쉬운 대화문이나 텍스트를 읽고 단편적인 정보를 제한적으로 파악한다.","",""
"[9생독04-01]","낱말이나 간단한 구, 간단하고 쉬운 문장을 어법에 맞게 쓴다. ※ 내용 체계표의 가치･태도 요소를 포함하여 성취수준 개발","쓰기","중학교","","","","쓰기 활동에 자신감을 갖고 간단하고 쉬운 문장을 어법에 맞게 정확하게 쓸 수 있다.","쓰기 활동에 자신감을 갖고 간단하고 쉬운 문장을 어법에 맞게 비교적 정확하게 쓸 수 있다.","쓰기 활동에 부분적으로 자신감을 보이며 간단한 구, 간단하고 쉬운 일부 문장을 어법에 맞게 대체적으로 쓸 수 있다.","쓰기 활동에 부분적으로 자신감을 보이며 낱말이나 간단한 일부 구를 어법에 맞게 부분적으로 쓸 수 있다.","쓰기 활동에 일부 낱말을 제한적으로 쓸 수 있다.","",""
