"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9수01-01]","소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다","수와 연산","중학교","","","","소인수분해의 뜻을 설명하고, 자연수를 소인수분해 할 수 있다.","","소인수분해의 뜻을 알고, 자연수를 소인수의 곱으로 표현할 수 있다.","","소인수를 알고, 안내된 절차에 따라 자연수를 소인수의 곱으로 표현할 수 있다.","",""
"[9수01-02]","소인수분해를 이용하여 최대공약수와 최소공배수를 구할 수 있다.","수와 연산","중학교","","","","소인수분해를 이용하여 최대공약수와 최소공배수를 구하고 그 원리를 설명할 수 있다.","","소인수분해를 이용하여 두 수의 최대공약수와 최소공배수를 구할 수 있다.","","소인수분해 된 두 수의 최대공약수 또는 최소공배수를 구할 수 있다.","",""
"[9수01-03]","다양한 상황을 이용하여 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해한다.","수와 연산","중학교","","","","다양한 상황에서 음수가 사용되는 예를 찾는 활동을 기반으로 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해하며, 이들 사이의 관계를 설명할 수 있다.","다양한 상황에서 음수가 사용되는 예를 기반으로 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해하며 이들 수를 분류하고 설명할 수 있다.","음수가 사용되는 예를 기반으로 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해하며, 수를 분류할 수 있다.","양수와 음수, 정수와 유리수의 개념을 부분적으로 이해하고, 수를 분류할 수 있다.","주어진 수에서 양수와 음수, 정수와 유리수를 구분할 수 있다.","",""
"[9수01-04]","정수와 유리수의 대소 관계를 판단할 수 있다.","수와 연산","중학교","","","","정수와 유리수의 대소 관계를 여러 가지 방법으로 판단하고 그 이유를 설명할 수 있다.","","정수와 유리수의 대소 관계를 판단할 수 있다.","","수직선 위에 나타나 있는 두 정수와 두 유리수의 대소 관계를 판단할 수 있다.","",""
"[9수01-05]","정수와 유리수의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.","수와 연산","중학교","","","","정수와 유리수의 사칙계산의 원리를 설명하고 복잡한 혼합계산을 할 수 있으며, 다양한 실생활 상황을 기반으로 정수와 유리수의 사칙계산의 유용성을 인식한다.","정수와 유리수의 사칙계산의 원리를 이해하고 혼합계산을 할 수 있으며, 실생활 상황을 기반으로 정수와 유리수의 사칙계산의 유용성을 인식한다.","정수와 유리수의 사칙계산의 원리를 이해하고. 정수와 유리수의 덧셈, 뺄셈, 곱셈, 나눗셈을 할 수 있으며, 정수와 유리수의 사칙계산이 사용되는 예를 찾을 수 있다.","정수와 유리수의 사칙계산의 원리를 알고, 간단한 정수와 유리수의 덧셈, 뺄셈, 곱셈, 나눗셈을 할 수 있다.","간단한 두 정수 또는 두 유리수의 덧셈, 뺄셈, 곱셈, 나눗셈을 할 수 있다.","",""
"[9수01-06]","순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.","수와 연산","중학교","","","","유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징을 이해하고, 순환소수를 분수로 나타내는 과정을 설명할 수 있으며 이를 통해 유리수와 순환소수의 관계를 설명할 수 있다.","유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징을 이해하고, 순환소수를 분수로 나타낼 수 있으며 이를 통해 유리수와 순환소수의 관계를 이해한다.","유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징을 이해하고, 순환소수를 분수로 나타낼 수 있다.","순환소수의 뜻을 알고 주어진 분수 중 유한소수 또는 순환소수로 나타낼 수 있는 분수를 구분할 수 있으며, 순환소수 중 일부를 분수로 나타낼 수 있다.","순환소수의 뜻을 알고 안내된 절차에 따라 순환소수를 분수로 나타낼 수 있다.","",""
"[9수01-07]","제곱근의 뜻과 성질을 알고, 제곱근의 대소 관계를 판단할 수 있다.","수와 연산","중학교","","","","제곱근의 뜻과 성질을 이해하고, 근호를 포함한 식을 간단히 할 수 있으며 제곱근의 대소 관계를 판단하고 그 이유를 설명할 수 있다.","제곱근의 뜻과 성질을 이해하고, 근호를 포함한 식을 간단히 할 수 있으며 제곱근의 대소 관계를 판단할 수 있다.","제곱근의 뜻과 성질을 알고, 주어진 유리수의 제곱근을 근호를 사용하여 나타낼 수 있으며 제곱근의 대소 관계를 판단할 수 있다.","제곱근의 뜻을 알고, 주어진 자연수의 제곱근을 근호를 사용하여 나타낼 수 있으며 제곱근의 대소 관계를 판단할 수 있다.","제곱근의 뜻을 알고, 1, 4, 9 등과 같은 제곱수의 제곱근을 구할 수 있으며 안내된 절차에 따라 제곱근의 대소 관계를 판단할 수 있다.","",""
"[9수01-08]","무리수의 개념을 이해하고, 무리수의 유용성을 인식할 수 있다.","수와 연산","중학교","","","","한 변의 길이가 1인 정사각형의 대각선의 길이 등 유리수가 아닌 예를 통해 무리수의 개념을 이해하고 실수의 수 체계를 설명할 수 있으며, 실생활에서 사용되는 무리수의 예를 통해 무리수의 필요성과 유용성을 설명할 수 있다.","","한 변의 길이가 1인 정사각형의 대각선의 길이 등 유리수가 아닌 예를 통해 무리수의 개념을 이해하고, 실생활에서 사용되는 무리수의 예를 통해 무리수의 필요성을 인식할 수 있다.","","주어진 수에서 유리수와 무리수를 구분할 수 있다.","",""
"[9수01-09]","실수의 대소 관계를 판단하고 설명할 수 있다.","수와 연산","중학교","","","","실수의 대소 관계를 여러 가지 방법으로 판단하고 그 이유를 설명할 수 있다.","","실수의 대소 관계를 판단하고 그 이유를 말할 수 있다.","","간단한 실수의 대소 관계를 제곱근의 대소 관계를 이용하여 판단할 수 있다.","",""
"[9수01-10]","근호를 포함한 식의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.","수와 연산","중학교","","","","근호를 포함한 식의 사칙계산의 원리를 이해하고 설명할 수 있으며, 그 계산을 하며 과정을 설명할 수 있다.","근호를 포함한 식의 사칙계산의 원리를 이해하고, 그 계산을 하며 과정을 설명할 수 있다.","근호를 포함한 식의 사칙계산의 원리를 알고 그 계산을 할 수 있다.","근호를 포함한 식의 사칙계산의 원리를 알고 근호를 포함한 간단한 식의 사칙계산을 할 수 있다.","제곱근의 곱셈과 나눗셈 또는 근호 안의 수가 같은 제곱근의 덧셈과 뺄셈을 할 수 있다.","",""
