"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9역01-01]","역사와 역사 탐구의 의미를 파악하고, 역사 학습의 목적을 다각도로 탐색한다.","역사학습의 기초","중학교","","","","역사의 의미와 역사 탐구의 의미를 파악하고, 다양한 역사 학습의 목적이 공존함을 다각도로 찾아, 자신이 생각하는 역사의 의미와 역사 학습의 목적을 표현할 수 있다.","역사의 의미와 역사 탐구의 의미를 파악하고, 다양한 역사 학습의 목적이 공존함을 다각도로 찾을 수 있다.","역사의 의미와 역사 탐구의 의미를 파악하고, 다양한 역사 학습의 목적이 공존함을 이해할 수 있다.","역사의 의미를 파악하고, 역사 학습의 목적을 제시할 수 있다.","역사의 의미를 파악할 수 있다.","",""
"[9역01-02]","다양한 자료와 사례를 통해 역사 탐구 방법을 익힌다.","역사학습의 기초","중학교","","","","역사 탐구 주제에 적합하고 신뢰할 수 있는 자료를 다양하게 수집, 분석, 해석하여 적절하고 타당한 근거에 기초한 역사 이해를 형성할 수 있다.","역사 탐구 주제에 적합하고 신뢰할 수 있는 자료를 다양하게 수집, 분석, 해석하여 역사 이해를 형성할 수 있다.","역사 탐구 주제에 적합하고 신뢰할 수 있는 자료를 다양하게 수집, 분석, 해석할 수 있다.","역사 탐구 주제에 적합하고 신뢰할 수 있는 자료를 다양하게 수집할 수 있다.","역사 탐구 주제에 적합한 자료를 수집할 수 있다.","",""
"[9역02-01]","선사 문화 및 문명의 형성을 이해하고, 각 문명의 특징을 비교한다.","문명의 발생과 고대 세계의 형성","중학교","","","","선사 문화와 문명 형성의 변화를 이해하고, 유적·유물·사료를 통해 각 문명의 공통점과 차이점을 추론할 수 있다.","선사 문화 및 문명의 형성 과정을 이해하고, 문명의 공통점을 사례를 들어 설명할 수 있다.","선사 문화와 문명의 형성 과정을 이해하고, 문명의 공통점을 나열할 수 있다.","선사 문화와 문명의 차이를 이해하고, 문명의 대표적 사례를 말할 수 있다.","선사 문화와 문명의 차이를 구분할 수 있다.","",""
"[9역02-02]","서아시아･ 지중해 세계에서 등장한 여러 정치체를 비교하고 종교 및 문화를 탐구한다.","문명의 발생과 고대 세계의 형성","중학교","","","","서아시아･지중해 세계에서 등장한 여러 정치체, 종교, 문화의 특징을 자료에 근거해 비교하고 그 역사적 맥락을 분석할 수 있다.","서아시아･지중해 세계에서 등장한 여러 정치체, 종교 및 문화의 사례를 통해 그 특징을 설명할 수 있다.","서아시아･지중해 세계에서 등장한 여러 정치체를 구분하고, 각 지역의 종교 및 문화를 연결할 수 있다.","서아시아･지중해 세계에서 등장한 여러 정치체와 종교 및 문화의 사례를 나열할 수 있다.","서아시아･지중해 세계에서 다양한 정치체와 종교･문화가 형성되었음을 말할 수 있다.","",""
"[9역02-03]","중국과 인도의 정치적 변화와 종교･사상 성립의 관계를 이해하고, 유라시아의 상호 교류를 탐색한다.","문명의 발생과 고대 세계의 형성","중학교","","","","중국과 인도의 정치적 변화와 종교･사상 성립의 관계를 이해하고, 유라시아의 상호 교류 양상을 자료를 통해 종합적으로 추론할 수 있다.","중국과 인도의 정치적 변화와 종교･사상 성립의 관계를 이해하고, 유라시아의 상호 교류 양상을 분석할 수 있다.","중국과 인도에서 진행된 정치적 변화와 종교･사상의 성립을 파악하고, 유라시아의 상호 교류 양상을 설명할 수 있다.","중국과 인도에서 진행된 정치적 변화와 종교･사상의 성립을 파악하고, 유라시아의 상호 교류 사례를 말할 수 있다.","중국과 인도에서 정치･종교･사상이 변화하고 유라시아 지역이 상호 교류하였음을 말할 수 있다.","",""
"[9역03-01]","수･당 시기 동아시아 국제 질서의 특징을 이해하고, 동아시아 문화를 탐구한다.","세계 종교의 확산과 지역 문화의 발전","중학교","","","","수･당 시기 동아시아 국제 질서의 특징을 역사적 맥락에서 이해하고, 동아시아 문화의 공통적 특징을 지역별 독자성을 자료를 통해 비교·분석·종합할 수 있다.","수･당 시기 동아시아 국제 질서의 특징을 이해하고, 동아시아 문화의 공통적 특징을 사례를 통해 설명할 수 있다.","수･당 시기 동아시아 국가들의 관계를 말하고, 동아시아 문화의 공통적 특징과 사례를 연결할 수 있다.","수･당 시기 동아시아 국가들을 나열하고, 동아시아 문화의 공통적 특징을 말할 수 있다.","수･당 시기 동아시아 문화에 공통적 특징이 존재했음을 말할 수 있다.","",""
"[9역03-02]","인도, 서아시아, 지중해에서 진행된 정치적 변동 과정과 각 종교의 특징 및 영향을 파악한다.","세계 종교의 확산과 지역 문화의 발전","중학교","","","","인도, 서아시아, 지중해에서 진행된 정치적 변동 과정과 각 종교의 특징을 연관 지어 이해하고 지역 문화가 형성된 역사적 맥락을 분석할 수 있다.","인도, 서아시아, 지중해에서 진행된 정치적 변동 과정과 각 종교의 특징을 이해하고 지역문화 형성에 정치와 종교가 미친 영향을 설명할 수 있다.","인도, 서아시아, 지중해에서 진행된 정치적 변동 과정과 각 종교의 특징을 사례를 들어 설명할 수 있다.","인도, 서아시아, 지중해에서 진행된 정치적 변동과 각 종교의 특징을 구분할 수 있다.","인도, 서아시아, 지중해에서 정치적 변동이 일어나고 각 종교가 특징을 가지고 발달하였음을 말할 수 있다.","",""
"[9역03-03]","크리스트교 세계의 정치와 종교의 상관성을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류의 결과를 탐구한다.","세계 종교의 확산과 지역 문화의 발전","중학교","","","","크리스트교 세계의 정치와 종교의 상관성을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류의 결과를 자료에 기반해 맥락적으로 추론할 수 있다.","크리스트교 세계의 정치와 종교의 상관성을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류의 결과를 설명할 수 있다.","크리스트교 세계의 정치와 종교가 밀접한 관계가 있었음을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류가 가져온 변화를 나열할 수 있다.","크리스트교 세계의 정치와 종교가 밀접한 관계가 있었음을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류의 사례를 말할 수 있다.","크리스트교 세계에서 정치와 종교가 서로 영향을 미치고 이슬람 세계와 크리스트교 세계가 상호작용했음을 말할 수 있다.","",""
"[9역04-01]","송과 몽골 제국 시기 유라시아･인도양 교역권의 성장을 경제･문화 자료를 통해 탐구한다.","지역 세계의 교류와 변화","중학교","","","","송과 몽골 제국 시기 유라시아･인도양 교역권의 성장 과정 및 결과를 경제･문화 자료의 분석･해석을 통해 종합적으로 추론할 수 있다.","송과 몽골 제국 시기 유라시아･인도양 교역권의 성장 양상을 사례를 통해 설명할 수 있다.","송과 몽골 제국 시기 유라시아･인도양 교역권의 성장 양상을 제시할 수 있다.","송과 몽골 제국 시기 유라시아･인도양 교역의 사례를 말할 수 있다.","송과 몽골 제국 시기 유라시아와 인도양에서 교역이 활발했음을 말할 수 있다.","",""
"[9역04-02]","명･청, 에도 막부, 무굴 제국의 정치･사회 변화를 비교한다.","지역 세계의 교류와 변화","중학교","","","","명･청, 에도 막부, 무굴 제국의 정치･사회 변화에 대한 자료를 분석하고 그 특징을 비교할 수 있다.","명･청, 에도 막부, 무굴 제국 각국의 정치･사회 변화를 분석할 수 있다.","명･청, 에도 막부, 무굴 제국의 정치･사회 변화 사례를 국가별로 구분할 수 있다.","명･청, 에도 막부, 무굴 제국이 성립하고 변화했음을 제시할 수 있다.","명･청, 에도 막부, 무굴 제국이 각 지역에서 성장했음을 말할 수 있다.","",""
