"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9영01-01]","단어, 어구, 문장을 듣고 연음이나 축약된 소리를 식별한다.","이해","중학교","","","","단어, 어구, 문장을 듣고 연음이나 축약된 소리를 정확하게 식별할 수 있다.","단어, 어구, 문장을 듣고 연음이나 축약된 소리를 정확하게 식별할 수 있다.","단어, 어구, 문장을 듣고 연음이나 축약된 소리를 대략적으로 식별할 수 있다.","단어, 어구, 문장을 듣고 연음이나 축약된 소리를 대략적으로 식별할 수 있다.","단어, 어구, 문장을 듣고 연음이나 축약된 소리를 제한적으로 식별할 수 있다.","",""
"[9영01-02]","친숙한 주제에 관한 담화나 글에서 세부 정보를 파악한다.","이해","중학교","","","","친숙한 주제에 관한 다양한 유형의 길고 복잡한 담화나 글에서 사실 정보와 맥락 정보를 활용하여 세부 정보를 정확하게 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 길고 복잡한 담화나 글에서 사실 정보와 맥락 정보를 활용하여 세부 정보를 비교적 정확하게 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 담화나 글에서 사실 정보를 활용하여 세부 정보를 대략적으로 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 담화나 글에서 사실 정보를 활용하여 세부 정보를 부분적으로 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 짧고 간단한 담화나 글에서 단순한 사실 정보를 활용하여 세부 정보를 제한적으로 파악할 수 있다.","",""
"[9영01-03]","친숙한 주제에 관한 담화나 글의 중심 내용을 파악한다.","이해","중학교","","","","친숙한 주제에 관한 다양한 유형의 길고 복잡한 담화나 글에서 사실 정보와 맥락 정보를 활용하여 줄거리, 주제, 요지 등의 중심 내용을 정확하게 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 길고 복잡한 담화나 글에서 사실 정보와 맥락 정보를 활용하여 줄거리, 주제, 요지 등의 중심 내용을 비교적 정확하게 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 담화나 글에서 사실 정보를 활용하여 줄거리, 주제, 요지 등의 중심 내용을 대략적으로 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 담화나 글에서 사실 정보를 활용하여 줄거리, 주제, 요지 등의 중심 내용을 부분적으로 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 짧고 간단한 담화나 글에서 단순한 사실 정보를 활용하여 줄거리, 주제, 요지 등의 중심 내용을 제한적으로 파악할 수 있다.","",""
"[9영01-04]","친숙한 주제에 관한 담화나 글에서 일이나 사건의 논리적 관계를 파악한다.","이해","중학교","","","","친숙한 주제에 관한 다양한 유형의 길고 복잡한 담화나 글에서 사실 정보와 맥락 정보를 활용하여 일이나 사건의 순서, 전후 관계, 원인과 결과 등의 논리적 관계를 정확하게 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 길고 복잡한 담화나 글에서 사실 정보와 맥락 정보를 활용하여 일이나 사건의 순서, 전후 관계, 원인과 결과 등의 논리적 관계를 비교적 정확하게 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 담화나 글에서 사실 정보를 활용하여 일이나 사건의 순서, 전후 관계, 원인과 결과 등의 논리적 관계를 대략적으로 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 담화나 글에서 사실 정보를 활용하여 일이나 사건의 순서, 전후 관계, 원인과 결과 등의 논리적 관계를 부분적으로 파악할 수 있다.","친숙한 주제에 관한 다양한 유형의 짧고 간단한 담화나 글에서 단순한 사실 정보를 활용하여 일이나 사건의 순서, 전후 관계, 원인과 결과 등의 논리적 관계를 제한적으로 파악할 수 있다.","",""
"[9영01-05]","친숙한 주제에 관한 담화나 글에서 인물의 기분이나 감정을 추론한다.","이해","중학교","","","","친숙한 주제에 관한 다양한 유형의 길고 복잡한 담화나 글에서 사실 정보와 맥락 정보를 활용하여 인물의 기분이나 감정을 정확하게 추론할 수 있다.","친숙한 주제에 관한 다양한 유형의 길고 복잡한 담화나 글에서 사실 정보와 맥락 정보를 활용하여 인물의 기분이나 감정을 비교적 정확하게 추론할 수 있다.","친숙한 주제에 관한 다양한 유형의 담화나 글에서 사실 정보를 활용하여 인물의 기분이나 감정을 대략적으로 추론할 수 있다.","친숙한 주제에 관한 다양한 유형의 담화나 글에서 사실 정보를 활용하여 인물의 기분이나 감정을 부분적으로 추론할 수 있다.","친숙한 주제에 관한 다양한 유형의 짧고 간단한 담화나 글에서 단순한 사실 정보를 활용하여 인물의 기분이나 감정을 제한적으로 추론할 수 있다.","",""
"[9영01-06]","친숙한 주제에 관한 담화나 글에서 화자나 필자의 의도나 목적을 추론한다.","이해","중학교","","","","친숙한 주제에 관한 다양한 유형의 길고 복잡한 담화나 글에서 사실 정보와 맥락 정보를 활용하여 화자나 필자의 의도나 목적을 정확하게 추론할 수 있다.","친숙한 주제에 관한 다양한 유형의 길고 복잡한 담화나 글에서 사실 정보와 맥락 정보를 활용하여 화자나 필자의 의도나 목적을 비교적 정확하게 추론할 수 있다.","친숙한 주제에 관한 다양한 유형의 담화나 글에서 사실 정보를 활용하여 화자나 필자의 의도나 목적을 대략적으로 추론할 수 있다.","친숙한 주제에 관한 다양한 유형의 담화나 글에서 사실 정보를 활용하여 화자나 필자의 의도나 목적을 부분적으로 추론할 수 있다.","친숙한 주제에 관한 다양한 유형의 짧고 간단한 담화나 글에서 단순한 사실 정보를 활용하여 화자나 필자의 의도나 목적을 제한적으로 추론할 수 있다.","",""
"[9영01-07]","단어, 어구, 문장의 함축적 의미를 추론한다.","이해","중학교","","","","사실 정보와 맥락 정보를 활용하여 단어, 어구, 문장의 함축적 의미를 정확하게 추론할 수 있다.","사실 정보와 맥락 정보를 활용하여 단어, 어구, 문장의 함축적 의미를 비교적 정확하게 추론할 수 있다.","사실 정보를 활용하여 단어, 어구, 문장의 함축적 의미를 대략적으로 추론할 수 있다.","사실 정보를 활용하여 단어, 어구, 문장의 함축적 의미를 부분적으로 추론할 수 있다.","단순한 사실 정보를 활용하여 단어, 어구, 문장의 함축적 의미를 제한적으로 추론할 수 있다.","",""
"[9영01-08]","적절한 전략을 활용하여 다양한 매체로 표현된 담화나 글을 듣거나 읽는다.","이해","중학교","","","","다양한 매체로 표현된 친숙한 주제에 관한 담화나 글을 듣거나 읽을 때 적절한 전략을 다양하게 활용할 수 있다.","다양한 매체로 표현된 친숙한 주제에 관한 담화나 글을 듣거나 읽을 때 적절한 전략을 다양하게 활용할 수 있다.","다양한 매체로 표현된 친숙한 주제에 관한 담화나 글을 듣거나 읽을 때 적절한 전략을 일부 활용할 수 있다.","다양한 매체로 표현된 친숙한 주제에 관한 담화나 글을 듣거나 읽을 때 적절한 전략을 일부 활용할 수 있다.","다양한 매체로 표현된 친숙한 주제에 관한 담화나 글을 듣거나 읽을 때 예시를 참고하여 적절한 전략을 일부 활용할 수 있다.","",""
"[9영01-09]","다양한 관점을 존중하는 태도로 듣거나 읽는다.","이해","중학교","","","","친숙한 주제에 관한 담화나 글을 듣거나 읽을 때 다양한 의견과 관점을 존중하는 태도를 적극적으로 보인다.","친숙한 주제에 관한 담화나 글을 듣거나 읽을 때 다양한 의견과 관점을 존중하는 태도를 적극적으로 보인다.","친숙한 주제에 관한 담화나 글을 듣거나 읽을 때 다양한 의견과 관점을 존중하는 태도를 비교적 적극적으로 보인다.","친숙한 주제에 관한 담화나 글을 듣거나 읽을 때 다양한 의견과 관점을 존중하는 태도를 비교적 적극적으로 보인다.","친숙한 주제에 관한 담화나 글을 듣거나 읽을 때 다양한 의견과 관점을 존중하는 태도를 보이려고 노력한다.","",""
"[9영01-10]","자신의 관심사에 관한 다양한 담화나 글을 선택하여 적극적으로 듣거나 읽는다.","이해","중학교","","","","자신의 관심 분야와 관련된 다양한 담화나 글을 주도적으로 선택하여 적극적으로 듣거나 읽을 수 있다.","자신의 관심 분야와 관련된 다양한 담화나 글을 주도적으로 선택하여 적극적으로 듣거나 읽을 수 있다.","자신의 관심 분야와 관련된 다양한 담화나 글을 선택하여 비교적 적극적으로 듣거나 읽을 수 있다.","자신의 관심 분야와 관련된 다양한 담화나 글을 선택하여 비교적 적극적으로 듣거나 읽을 수 있다.","자신의 관심 분야와 관련하여 주어진 담화나 글에서 선택하여 다소 적극적으로 듣거나 읽을 수 있다.","",""
