"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9음01-01]","다양한 주법과 표현 기법을 향상시켜 노래나 악기로 개성 있게 연주한다.","연주","중학교","","","","다양한 주법과 여러 음악의 고유한 표현 기법을 충분히 이해하여 음악적 표현을 살려 노래나 악기로 개성 있게 연주한다.","다양한 주법과 여러 음악의 고유한 표현 기법을 이해하여 노래나 악기로 개성 있게 연주한다.","다양한 주법과 여러 음악의 고유한 표현 기법을 부분적으로 이해하여 노래나 악기로 연주한다.","","","",""
"[9음01-02]","음악 요소와 음악적 특징을 살려 노래나 악기로 발표하고 평한다.","연주","중학교","","","","음악 요소와 음악적 특징을 충분히 이해하여 노래나 악기로 발표하고 연주 활동에 대해 종합적으로 평한다.","음악 요소와 음악적 특징을 이해하여 노래나 악기로 발표하고 연주 활동에 대해 평한다.","음악 요소와 음악적 특징을 일부 이해하여 노래나 악기로 발표하고 연주 활동에 대해 부분적으로 평한다.","","","",""
"[9음01-03]","소리의 상호작용을 인식하고 매체를 활용하여 함께 표현한다.","연주","중학교","","","","소리의 상호작용을 충분히 이해하고 매체를 적절하게 활용하여 함께 적극적으로 표현한다.","소리의 상호작용을 이해하고 매체를 활용하여 함께 표현한다.","소리의 상호작용을 부분적으로 이해하고 매체를 활용하여 함께 표현하려고 노력한다.","","","",""
"[9음01-04]","생활 속 다양한 형태의 연주에 참여하고 전통과 현대의 연주 문화 다양성을 인식한다.","연주","중학교","","","","생활 속 다양한 형태의 연주를 충분히 이해하여 연주 활동에 주도적으로 참여하고 전통과 현대의 연주 문화 다양성을 종합적으로 인식한다.","생활 속 다양한 형태의 연주를 이해하여 연주 활동에 참여하고 전통과 현대의 연주 문화 다양성을 인식한다.","생활 속 다양한 형태의 연주를 일부 이해하여 연주 활동에 참여하려 노력하고 전통과 현대의 연주 문화 다양성을 부분적으로 인식한다.","","","",""
"[9음02-01]","음악을 듣고 다양한 음악 요소에 집중하여 분석한다.","감상","중학교","","","","음악을 집중하여 듣고 악곡에 나타난 다양한 음악 요소를 분석하며 종합적으로 파악하여 표현한다.","음악을 집중하여 듣고 악곡에 나타난 다양한 음악 요소를 분석하며 파악하여 표현한다.","음악을 듣고 악곡에 나타난 음악 요소를 부분적으로 파악하여 표현한다.","","","",""
"[9음02-02]","다양한 시대와 문화권의 음악을 듣고 음악적 특징과 음악의 구성을 파악한다.","감상","중학교","","","","다양한 시대와 문화권의 음악을 듣고 시대와 문화권에 따른 음악적 특징과 구성을 종합적으로 파악하여 표현한다.","다양한 시대와 문화권의 음악을 듣고 시대와 문화권에 따른 음악적 특징과 구성을 파악하여 표현한다.","다양한 시대와 문화권의 음악을 듣고 시대와 문화권에 따른 음악적 특징과 구성을 부분적으로 파악하여 표현하려고 노력한다.","","","",""
"[9음02-03]","다양한 시대･사회･ 문화권의 음악을 듣고 음악의 배경과 역할을 비교한다.","감상","중학교","","","","다양한 시대･사회･문화권의 음악을 듣고 음악의 배경과 역할을 종합적으로 파악하여 시대･사회･문화적 맥락 속에서 비교하며 구체적으로 설명한다.","다양한 시대･사회･문화권의 음악을 듣고 음악의 배경과 역할을 파악하여 비교하며 설명한다.","다양한 시대･사회･문화권의 음악을 듣고 음악의 배경과 역할을 일부 파악하여 부분적으로 비교하며 설명한다.","","","",""
"[9음02-04]","생활 속에서 음악을 들으며 다양한 감성과 가치를 인식하고 존중한다.","감상","중학교","","","","생활 속에서 여러 음악을 적극적으로 찾아 들으며 다양한 감성과 가치를 종합적으로 인식하고 존중한다.","생활 속에서 음악을 찾아 들으며 다양한 감성과 가치를 인식하고 존중한다.","생활 속에서 음악을 들으며 다양한 감성과 가치를 부분적으로 인식하고 존중한다.","","","",""
"[9음02-05]","유네스코에 등재된 우리나라의 음악 문화유산을 찾아 듣고, 세계 속 국악의 위상과 문화적 가치를 인식한다.","감상","중학교","","","","유네스코에 등재된 우리나라의 음악 문화유산을 적극적으로 찾아 듣고, 음악 문화유산을 충분히 이해하여 세계 속 국악의 위상과 문화적 가치를 종합적으로 인식한다.","유네스코에 등재된 우리나라의 음악 문화유산을 찾아 듣고, 음악 문화유산을 이해하여 세계 속 국악의 위상과 문화적 가치를 인식한다.","유네스코에 등재된 우리나라의 음악 문화유산을 듣고, 음악 문화유산을 일부 이해하여 세계 속 국악의 위상과 문화적 가치를 부분적으로 인식한다.","","","",""
"[9음03-01]","음악적 의도나 아이디어를 여러 매체나 방법에 적용하여 자기 주도적으로 창작한다.","창작 영역","중학교","","","","표현하고자 하는 음악적 의도나 창의적인 아이디어를 떠올리고 여러 매체나 방법에 적절하게 적용하며 자기 주도적으로 계획하고 창작한다.","표현하고자 하는 음악적 의도나 아이디어를 떠올리고 여러 매체나 방법에 적용하며 계획하고 창작한다.","표현하고자 하는 음악적 의도나 아이디어를 떠올리고 일부 매체나 방법에 적용하며 창작한다.","","","",""
"[9음03-02]","오선보, 정간보 등의 기보법을 활용하여 조건에 따라 악곡의 일부를 바꾼다.","창작 영역","중학교","","","","오선보, 정간보 등의 기보법을 적절하게 활용하여 주어진 조건을 전체적으로 지켜 악곡의 일부를 바꾼다.","오선보, 정간보 등의 기보법을 활용하여 주어진 조건을 지켜 악곡의 일부를 바꾼다.","오선보, 정간보 등의 기보법을 일부 활용하여 주어진 조건을 부분적으로 지켜 악곡의 일부를 바꾼다.","","","",""
"[9음03-03]","음악의 요소와 특징을 활용하여 간단한 형식의 음악을 만든다.","창작 영역","중학교","","","","음악의 요소와 특징을 적절하게 활용하여 주어진 조건을 충실히 지켜 간단한 형식의 음악을 창의적으로 만든다.","음악의 요소와 특징을 활용하여 주어진 조건을 지켜 간단한 형식의 음악을 만든다.","음악의 요소와 특징을 일부 활용하여 주어진 조건을 부분적으로 지켜 간단한 형식의 음악을 만들려고 노력한다.","","","",""
"[9음03-04]","생활 속의 영역과 연계하여 음악을 만들고 활용하며 책임감을 갖는다.","창작 영역","중학교","","","","생활 속의 다양한 영역과 연계하여 주제나 목적에 맞는 음악을 만들고 적극적으로 활용하며 음악 산출물에 대한 책임감 있는 태도를 갖는다.","생활 속의 다양한 영역과 연계하여 음악을 만들고 활용하며 음악 산출물에 대한 책임감 있는 태도를 갖는다.","생활 속의 다양한 영역과 연계한 음악 만들기에 참여하며 음악 산출물에 대한 책임감 있는 태도를 가지려고 노력한다.","","","",""
