"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[4국01-01]","중요한 내용과 주제를 파악하며 듣고 그 내용을 요약한다.","듣기·말하기","초3-4","","","","중요한 내용과 주제를 정확하게 파악하며 듣고, 중심 내용과 세부 내용을 구분하여 자신의 언어로 요약할 수 있다.","중요한 내용과 주제를 파악하며 듣고, 중심 내용과 세부 내용을 구분하여 요약할 수 있다.","중요한 내용과 주제의 일부를 파악하며 듣고, 자신이 파악한 내용을 중심으로 요약한다.","","","",""
"[4국01-02]","원인과 결과의 관계를 고려하여 내용을 예측하며 듣고 말한다.","듣기·말하기","초3-4","","","","원인과 결과의 관계를 올바르게 고려하여 이어질 내용을 예측하며 듣고, 원인과 결과가 분명히 드러나게 말할 수 있다.","원인과 결과의 관계를 고려하여 이어질 내용을 예측하며 듣고, 원인과 결과가 드러나게 말할 수 있다.","원인과 결과의 관계를 알고 이어질 내용을 부분적으로 예측하며 듣고, 원인이나 결과가 일부 드러나게 말한다.","","","",""
"[4국01-03]","상황에 적절한 준언어･비언어적 표현을 활용하여 듣고 말한다.","듣기·말하기","초3-4","","","","담화 상황에 적절한 준언어･비언어적 표현을 활용하여 의미를 효과적으로 전달하고 이해하며 듣고 말할 수 있다.","담화 상황에 적절한 준언어･비언어적 표현을 활용하여 의미를 전달하고 이해하며 듣고 말할 수 있다.","담화 상황에서 준언어･비언어적 표현을 일부 활용하여 듣고 말한다.","","","",""
"[4국01-04]","상황과 상대의 입장을 이해하고 예의를 지키며 대화한다.","듣기·말하기","초3-4","","","","상황과 상대의 입장을 정확히 이해하고, 상대를 배려하는 표현을 적극적으로 활용하여 예의를 지키며 대화할 수 있다.","상황과 상대의 입장을 이해하고, 상대를 배려하는 표현을 사용하여 예의를 지키며 대화할 수 있다.","상황과 상대의 입장을 부분적으로 이해하고, 일부 상황에서 예의를 지키며 대화한다.","","","",""
"[4국01-05]","목적과 주제에 알맞게 자료를 정리하여 자신감 있게 발표한다.","듣기·말하기","초3-4","","","","주어진 자료에서 발표 목적과 주제에 알맞은 내용을 중심으로 발표 내용을 정리하고, 발표 전 연습을 통해 점검한 사항을 바탕으로 자신감 있게 발표할 수 있다.","주어진 자료에서 발표 목적과 주제에 알맞은 내용을 중심으로 발표 내용을 정리하고, 자신감 있게 발표할 수 있다.","주어진 자료에서 발표 목적과 주제를 부분적으로 고려하여 발표 내용을 정리하고, 이를 나열하는 수준에서 발표한다.","","","",""
"[4국01-06]","주제에 적절한 의견과 이유를 제시하고 서로의 생각을 교환하며 토의한다.","듣기·말하기","초3-4","","","","주제에 적절한 의견과 타당한 이유를 분명하게 제시하고, 서로의 생각을 적극적으로 교환하며 다른 사람을 존중하는 태도로 토의에 참여할 수 있다.","주제에 적절한 의견과 이유를 제시하고, 서로의 생각을 교환하며 다른 사람을 존중하는 태도로 토의에 참여할 수 있다.","주제에 대한 의견과 이유를 일부 제시하고, 서로의 생각을 부분적으로 묻고 답하며 토의에 참여한다.","","","",""
"[4국02-01]","글의 의미를 파악하며 유창하게 글을 읽는다.","읽기","초3-4","","","","글의 의미를 정확하게 파악하고, 글의 의미를 효과적으로 표현하는 방법을 사용하여 유창하게 소리 내어 글을 읽을 수 있다.","글의 의미를 파악하고, 글의 의미를 효과적으로 표현하는 방법을 사용하여 유창하게 글을 읽을 수 있다.","글의 의미를 부분적으로 파악하며 글을 소리 내어 읽는다.","","","",""
"[4국02-02]","문단과 글에서 중심 생각을 파악하고 내용을 간추린다.","읽기","초3-4","","","","문단별로 중요 단어와 중심 문장을 정확하게 파악하고, 문단별 중심 내용을 통합하여 글의 중심 생각을 파악할 수 있으며, 이를 자신의 말로 바꾸어 간추릴 수 있다.","문단별로 중요 단어와 중심 문장을 파악하고, 문단별 중심 내용을 통합하여 글의 중심 생각을 파악할 수 있으며, 이를 간추릴 수 있다.","문단별 중심 내용을 일부 파악하고, 글의 중심 생각을 부분적으로 파악하여 이를 간추린다.","","","",""
"[4국02-03]","질문을 활용하여 글을 예측하며 읽고 자신의 읽기 과정을 점검한다.","읽기","초3-4","","","","질문을 활용하여 글의 의미나 내용을 예측하며 읽고 글에 대한 이해 수준과 읽기 과정에서 겪는 어려움을 적극적으로 점검하며 읽을 수 있다.","질문을 활용하여 글의 내용을 예측하며 읽고 자신의 읽기 과정에서 겪는 어려움을 점검할 수 있다.","질문을 활용하여 부분적으로 글을 예측하며 읽고 자신의 읽기 과정에서 겪는 어려움을 일부 점검한다.","","","",""
"[4국02-04]","글에 나타난 사실과 의견을 구분하고 필자와 자신의 의견을 비교한다.","읽기","초3-4","","","","글에 나타난 사실과 의견을 구분하고 의견에 대한 타당성 평가를 바탕으로 필자와 자신의 의견을 적극적으로 비교할 수 있다.","글에 나타난 사실과 의견을 구분하고 필자의 의견을 일방적으로 수용하지 않고 자신의 의견을 비교할 수 있다.","글에 나타난 사실과 의견을 부분적으로 구분하고, 필자와 자신의 의견을 일부 비교한다.","","","",""
