"cls1","cls2","cls3","cls4","cls5","cls6","cls7","cls8","cls9","cls10","cls11","cls12"
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","01 1. 문학","01 01.문학","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","01 1. 문학","02 02.시","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","01 1. 문학","03 03. 소설","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","01 1. 문학","03 03.소설","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","01 1. 문학","04 04.수필","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","02 2. 비문학","01 01.논설문","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","02 2. 비문학","02 02.설명문","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","02 2. 비문학","03 03.자료를 찾으며 읽기","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","02 2. 비문학","05 05.토의하기","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","03 3. 문법","01 01.언어의 본질","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","03 3. 문법","02 02.국어의 품사","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","01 1학기","03 3. 문법","04 04. 어휘의 체계와 양상","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","01 국어","01 국어","02 2학기","03 3. 문법","03 03. 어휘의 양상과 쓰임","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","01 1학기","01 1. 수와 연산","01 소인수분해","03 03. 최대공약수","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","01 1학기","01 1. 수와 연산","02 정수와 유리수","03 03. 정수와 유리수의 대소 관계","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","01 1학기","01 1. 수와 연산","02 정수와 유리수","04 04. 정수와 유리수의 덧셈","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","01 1학기","01 1. 수와 연산","02 정수와 유리수","05 05. 정수와 유리수의 뺄셈","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","01 1학기","01 수와 연산","02 정수와 유리수","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","01 1학기","02 2. 문자와 식","02 일차방정식","02 02. 일차방정식의 풀이","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","01 1학기","02 2. 문자와 식","02 일차방정식","05 05. 일차방정식의 활용(2)","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","01 1학기","03 3. 좌표평면과 그래프","02 정비례와 반비례","01 01. 정비례 관계","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","01 4. 기본 도형","01 기본 도형","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","01 4. 기본 도형","01 기본 도형","01 01. 점, 선, 면","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","01 4. 기본 도형","01 기본 도형","02 02. 각","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","01 4. 기본 도형","01 기본 도형","03 03. 두 직선의 위치 관계","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","01 4. 기본 도형","01 기본 도형","04 04. 직선과 평면, 두 평면의 위치 관계","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","01 4. 기본 도형","01 기본 도형","05 05. 동위각과 엇각","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","01 4. 기본 도형","02 작도와 합동","01 01. 간단한 작도","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","01 4. 기본 도형","02 작도와 합동","02 02. 삼각형의 작도","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","01 4. 기본 도형","02 작도와 합동","03 03. 삼각형의 합동","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","01 평면도형의 성질","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","01 평면도형의 성질","01 01. 다각형과 대각선","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","01 평면도형의 성질","02 02. 다각형의 내각과 외각","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","01 평면도형의 성질","03 03. 원과 부채꼴","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","01 평면도형의 성질","04 04. 부채꼴의 호의 길이와 넓이","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","02 입체도형의 성질","","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","02 입체도형의 성질","01 01. 다면체","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","02 입체도형의 성질","02 02. 정다면체","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","02 입체도형의 성질","03 03. 회전체","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","02 입체도형의 성질","04 04. 기둥의 겉넓이와 부피","","",""
"A13 2022개정교육과정","02 중학교","07 1학년","03 수학","01 수학","02 2학기","02 5. 평면도형과 입체도형","02 입체도형의 성질","05 05. 뿔의 겉넓이와 부피","","",""
